,level_0,index,tconst,isAdult,startYear,runtimeMinutes,genres,title
29309,30126,1099299,tt16527290,0,2022,96,"['Action', 'Thriller']",Wire Room
29310,30127,1099753,tt16529002,0,2022,130,['Comedy'],Kabaddi 4: The Final Match
29311,30128,1099788,tt16529222,0,2022,109,"['Action', 'Crime', 'Thriller']",Special delivery
29312,30129,1099858,tt16530188,0,2009,\N,['Documentary'],Rues de Pékin
29313,30130,1099860,tt1653037,0,2008,55,['Documentary'],On the Edge of Passion
29314,30131,1100008,tt16531614,0,2023,87,"['Comedy', 'Drama', 'Sci-Fi']",Aliens Abducted My Parents and Now I Feel Kinda Left Out
29315,30132,1100030,tt16532024,0,2022,\N,['Documentary'],Tu deviendras un homme
29316,30133,1100042,tt16532314,0,2022,98,['Comedy'],The Binge 2: It's A Wonderful Binge
29317,30134,1100347,tt1653649,0,2010,100,"['Action', 'Drama']",Alien Girl
29318,30135,1100348,tt1653653,0,2011,90,"['Drama', 'History', 'Thriller']",Coeurs sales
29319,30136,1100350,tt1653665,0,2017,107,"['Biography', 'Drama', 'Family']",Goodbye Christopher Robin
29320,30137,1100351,tt1653668,0,2010,94,"['Biography', 'Documentary', 'Drama']",Presque centenaire et athlète
29321,30138,1100352,tt1653690,0,2010,99,['Action'],Ong-bak 3 - L'ultime combat
29322,30139,1100353,tt1653700,0,2011,98,"['Action', 'Crime', 'Thriller']",The Veteran
29323,30140,1100410,tt1653810,0,2010,85,['Documentary'],Acqua in bocca
29324,30141,1100459,tt1653848,0,2010,133,['Drama'],Donoma (Le jour est là)
29325,30142,1100468,tt1653853,0,2010,88,"['Documentary', 'Musical']",Entre nos mains
29326,30143,1100476,tt1653855,0,2010,131,['Documentary'],Fin de concession
29327,30144,1100487,tt1653859,0,2010,66,"['Biography', 'Documentary', 'History']",Gauguin à Tahiti et aux Marquises
29328,30145,1100513,tt1653872,0,2010,82,['Documentary'],Je m'appelle Garance
29329,30146,1100520,tt1653874,0,2010,91,"['Comedy', 'Drama', 'Family']",Je vous aime très beaucoup
29330,30147,1100540,tt1653887,0,2010,88,['Documentary'],"Koyamaru, l'hiver et le printemps"
29331,30148,1100554,tt1653893,0,2009,90,['Documentary'],La vie sauvage des animaux domestiques
29332,30149,1100557,tt1653895,0,2010,50,['Documentary'],Le miroir aux alouettes
29333,30150,1100573,tt1653903,0,2010,56,['Documentary'],Marguerite et le dragon
29334,30151,1100581,tt1653908,0,2010,94,['Documentary'],Mourir? Plutôt crever!
29335,30152,1100588,tt1653911,0,2010,120,"['Biography', 'Drama', 'Music']","Nannerl, la soeur de Mozart"
29336,30153,1100595,tt1653913,0,2010,117,"['Horror', 'Sci-Fi']",Helldriver
29337,30154,1100599,tt1653915,0,2008,92,"['Comedy', 'Drama']","Nothing But the Truth, une vérité sud-africaine"
29338,30155,1100634,tt1653929,0,2010,91,['Drama'],Robert Mitchum est mort
29339,30156,1100650,tt1653938,0,2010,112,['Documentary'],Terre d'usage
29340,30157,1100665,tt1653953,0,2010,94,['Documentary'],À ciel ouvert
29341,30158,1100719,tt1654022,0,2010,88,['Comedy'],Entre nous deux
29342,30159,1100731,tt1654037,0,2010,110,['Documentary'],Je voudrais aimer personne
29343,30160,1100734,tt16540514,0,2022,80,['Horror'],Deep Fear
29344,30161,1101175,tt1654821,0,2010,\N,['Documentary'],Je suis blanc de peau
29345,30162,1101178,tt1654829,0,2012,110,['Drama'],Thérèse Desqueyroux
