,tconst,startYear,runtimeMinutes,genres,title
262,tt0080939,1981,84,"['Drama', 'Romance']",De la vie des estivants
263,tt0080946,1981,96,"['Comedy', 'Drama']",Le jardinier
264,tt0080948,1980,115,"['Drama', 'Music', 'Romance']",Le chanteur de jazz
265,tt0080950,1980,105,['Comedy'],Je vais craquer!!!
266,tt0080951,1980,105,"['Comedy', 'Drama', 'Romance']","Die Männer, die ich liebte"
267,tt0080957,1981,114,['Drama'],Les jeux de la comtesse Dolingen de Gratz
268,tt0080962,1980,126,"['Action', 'Drama', 'Sci-Fi']",Cataclysme force 7.9
269,tt0080964,1980,90,"['Comedy', 'Drama', 'Romance']",Cute Girl
270,tt0080973,1982,91,['Comedy'],Les Filles amoureuses du pharmacien
271,tt0080979,1980,180,"['Drama', 'History', 'War']","Kagemusha, l'ombre du guerrier"
272,tt0080997,1980,114,['Thriller'],L'enlèvement du président
273,tt0081012,1980,79,['Drama'],La danse du corbeau
274,tt0081027,1981,90,['Horror'],Le Lac des morts vivants
275,tt0081031,1980,97,"['Adventure', 'Family']",Le dernier vol de l'arche de Noé
276,tt0081043,1981,106,['Drama'],Lenine à Paris - évocation poétique
277,tt0081055,1980,91,['Documentary'],Nick's Movie
278,tt0081059,1980,173,"['Biography', 'Drama', 'History']",Le Lion du désert
279,tt0081060,1980,96,"['Comedy', 'Drama']",Les petites chéries
280,tt0081063,1980,103,"['Comedy', 'Drama', 'Romance']",La puce et le grincheux
281,tt0081070,1980,114,"['Crime', 'Drama', 'Mystery']",Le vendredi rouge
282,tt0081071,1980,100,"['Biography', 'Crime', 'Western']",Le gang des frères James
283,tt0081076,1980,110,"['Drama', 'Romance']",Loulou
284,tt0081080,1980,97,['Comedy'],L'amour à quatre mains
285,tt0081081,1980,97,"['Action', 'Crime', 'Drama']",La Guerre des gangs
286,tt0081086,1980,95,['Drama'],Lulu
287,tt0081089,1980,95,"['Comedy', 'Crime']",Le coucou
288,tt0081097,1980,78,"['Action', 'Comedy', 'Drama']",Saké et karaté
289,tt0081106,1980,84,['Drama'],Maudits je vous aimerai!
290,tt0081107,1980,90,"['Comedy', 'Horror']",Mama Dracula
291,tt0081109,1981,90,"['Biography', 'Drama', 'History']",Nostradamus 1999
292,tt0081110,1980,106,"['Comedy', 'Crime', 'Mystery']",Détective comme Bogart
293,tt0081112,1980,92,"['Adventure', 'Horror']",La secte des cannibales
294,tt0081113,1980,127,['Drama'],Les brumes de l'aube
295,tt0081114,1980,87,"['Crime', 'Drama', 'Horror']",Maniac
296,tt0081130,1980,93,"['Comedy', 'Drama']",La Révolution de la confiture
297,tt0081139,1980,110,"['Drama', 'Thriller']",Mater amatísima
298,tt0081145,1993,94,"['Comedy', 'Crime', 'Drama']",Kid et le Truand
299,tt0081148,1980,210,"['Drama', 'History']",Alexandre le Grand
300,tt0081150,1980,95,"['Comedy', 'Drama']",Melvin et Howard
301,tt0081159,1980,112,['Comedy'],"Une nuit folle, folle"
302,tt0081160,1980,110,['Drama'],Milka - Un film sur les tabous
303,tt0081163,1980,105,"['Crime', 'Mystery', 'Thriller']",Le miroir se brisa
304,tt0081164,1980,90,"['Drama', 'Mystery']",Mystère
305,tt0081165,1980,129,"['Drama', 'Romance']",Le mystère d'Oberwald
306,tt0081170,1980,90,['Comedy'],Les zizis baladeurs
307,tt0081176,1980,125,"['Comedy', 'Drama', 'Romance']",Mon oncle d'Amérique
308,tt0081178,1981,94,"['Comedy', 'Horror', 'Musical']",Le club des monstres
309,tt0081182,1980,130,"['Drama', 'Sci-Fi', 'Thriller']",La mort en direct
310,tt0081184,1980,101,"['Comedy', 'Horror', 'Thriller']",Nuits de cauchemar
311,tt0081186,1980,91,"['Comedy', 'Horror', 'Thriller']",Mother's Day
312,tt0081187,1980,102,"['Adventure', 'Drama', 'Western']",La fureur sauvage
313,tt0081192,1980,97,['Drama'],Le diabolique Docteur Patman
314,tt0081193,1980,83,"['Crime', 'Horror']",Au-delà de la terreur
315,tt0081197,1981,98,"['Adventure', 'Comedy', 'Drama']",Las mujeres de Jeremías
316,tt0081203,1982,95,"['Horror', 'Mystery', 'Sci-Fi']",Meurtre par téléphone
317,tt0081204,1981,82,['Documentary'],Mur murs
318,tt0081206,1980,38,['Documentary'],Dalí (1980)
319,tt0081207,1980,96,"['Comedy', 'Drama', 'Family']",Veux-tu être mon garde du corps?
320,tt0081221,1981,92,['Comedy'],Le noir Erwin
321,tt0081228,1980,100,['Drama'],Jeux érotiques de nuit
322,tt0081230,1980,101,"['Action', 'Crime', 'Drama']",Fort Bronx
323,tt0081232,1980,104,"['Crime', 'Horror', 'Mystery']",Nightkill
324,tt0081235,1980,129,"['Biography', 'Drama', 'Music']",Nijinsky
325,tt0081236,1986,87,['Action'],Ninja Champion
326,tt0081237,1980,118,"['Comedy', 'Drama', 'Horror']",La neuvième configuration
327,tt0081248,1981,85,['Horror'],Le manoir de la terreur
328,tt0081249,1980,94,"['Action', 'Comedy', 'Crime']",Le plus secret des agents secrets
329,tt0081250,1980,92,"['Drama', 'Horror', 'Mystery']",La nuit des traquées
330,tt0081259,1980,103,"['Action', 'Drama', 'Romance']",La fureur du juste
331,tt0081261,1980,89,['Comedy'],Je hais les blondes
332,tt0081276,1980,100,['Comedy'],On a volé la cuisse de Jupiter
333,tt0081283,1980,124,['Drama'],Des gens comme les autres
334,tt0081286,1981,97,"['Horror', 'Mystery']",Angoisse
335,tt0081291,1980,94,['Drama'],Out of the Blue - Garçonne
336,tt0081299,1980,173,['Drama'],Palermo
337,tt0081309,1980,87,['Drama'],Pasión prohibida
338,tt0081314,1980,92,"['Crime', 'Horror', 'Sci-Fi']",Le retour de Patrick
339,tt0081315,1980,101,"['Comedy', 'Mystery']","Patricia, un voyage pour l'amour"
